FQDN,ASN,IP Address,Country_Code,Country_Name,Region_Code,Region_Name,City_Name,Latitude,Longitude,Metro_Code,Area_Code,Time_Zone,Continent_Code,Postal_Code,Isp_Name,Organization_Name,Domain,As_Number,Netspeed,User_Type,Accuracy_Radius,Country_Confidence,City_Confidence,Region_Confidence,Postal_Confidence
copporationnews.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
defenceonline.net,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
downloadsite.me,26496,50.63.202.89,US,United States,AZ,Arizona,Scottsdale,33.6119,-111.8906,753,480,America/Phoenix,NA,85260,"GoDaddy.com, LLC","GoDaddy.com, LLC",secureserver.net,"AS26496 GoDaddy.com, LLC",Corporate,hosting,534,99,20,60,10
e-cardsshop.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
firefoxupdata.com,15003,23.19.7.190,US,United States,CA,California,Los Angeles,34.0438,-118.2512,803,213,America/Los_Angeles,NA,90014,"Nobis Technology Group, LLC",Ubiquity Server Solutions Los Angeles,1ue.com,"AS15003 Nobis Technology Group, LLC",Corporate,hosting,534,99,20,60,10
firefoxupdata.com,15169,8.8.8.8,US,United States,,,,38.0000,-97.0000,,,,NA,,Level 3 Communications,Google Incorporated,,AS15169 Google Inc.,Corporate,business,999,51,9,24,10
giftnews.org,46606,173.254.28.80,US,United States,UT,Utah,Provo,40.2181,-111.6133,770,801,America/Denver,NA,84606,Unified Layer,Unified Layer,justhost.com,AS46606 Unified Layer,Corporate,business,999,86,20,28,10
hugesoft.org,32421,192.31.186.148,US,United States,DE,Delaware,Wilmington,39.7157,-75.5281,504,302,America/New_York,NA,19801,Black Lotus Communications,Black Lotus Communications,,AS32421 Black Lotus Communications,Unknown,residential,534,99,20,60,10
hvmetal.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
ifexcel.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
infobusinessus.org,29761,173.254.222.138,US,United States,AZ,Arizona,Tempe,33.4357,-111.9171,753,480,America/Phoenix,NA,85281,"OC3 Networks & Web Solutions, LLC","CosmosTeck, LLC",,AS29761 Web Africa Proxy aut-num object,Corporate,hosting,1,59,22,44,10
infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
issnbgkit.net,21788,184.82.228.72,US,United States,CA,California,Los Angeles,34.0522,-118.2437,803,323,America/Los_Angeles,NA,,Network Operations Center,Network Operations Center,hostnoc.net,AS21788 Network Operations Center Inc.,Corporate,hosting,778,95,56,28,10
jobsadvanced.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
livemymsn.com,27229,69.25.50.10,US,United States,FL,Florida,Miami,25.7806,-80.1826,528,305,America/New_York,NA,33132,Internap Network Services Corporation,Webhosting.Net,,"AS27229 Webhosting.Net, Inc.",Corporate,hosting,534,99,20,60,10
maltempata.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
mcafeepaying.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
micyuisyahooapis.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
msnhome.org,8075,207.46.31.61,US,United States,,,,38.0000,-97.0000,,,,NA,,Microsoft Corp,Microsoft Corp,,AS8075 Microsoft Corp,Cable/DSL,business,,99,,,
msnhome.org,8075,65.55.39.12,US,United States,WA,Washington,Redmond,47.6801,-122.1206,819,425,America/Los_Angeles,NA,98052,Microsoft Hosting,Microsoft Hosting,,AS8075 Microsoft Corp,Corporate,residential,885,99,67,62,67
nationtour.net,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
newsesport.com,46606,173.254.2.146,US,United States,UT,Utah,Provo,40.2181,-111.6133,770,801,America/Denver,NA,84606,Unified Layer,Unified Layer,unifiedlayer.com,AS46606 Unified Layer,Corporate,business,534,99,20,60,10
newsonlinesite.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
nirvanaol.com,23352,204.93.130.138,US,United States,IL,Illinois,Chicago,41.8500,-87.6500,602,312,America/Chicago,NA,,Server Central Network,Rethem Hosting LLC,scnet.net,AS23352 Server Central Network,Corporate,business,11,99,72,71,10
onefastgame.net,8001,192.155.90.150,US,United States,NJ,New Jersey,Absecon,39.4899,-74.4773,504,609,America/New_York,NA,08205,Linode,Linode,linode.com,AS8001 Net Access Corporation,Unknown,hosting,534,99,20,60,10
phoenixtvus.com,7796,216.240.128.229,US,United States,,,,38.0000,-97.0000,,,,NA,,Atmlink,Design Creator,calpop.com,"AS7796 ATMLINK, INC.",Corporate,hosting,783,95,36,52,10
pop-musicsite.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
progammerli.com,21788,184.82.228.72,US,United States,CA,California,Los Angeles,34.0522,-118.2437,803,323,America/Los_Angeles,NA,,Network Operations Center,Network Operations Center,hostnoc.net,AS21788 Network Operations Center Inc.,Corporate,hosting,778,95,56,28,10
reutersnewsonline.com,21740,64.74.223.7,US,United States,WA,Washington,Bellevue,47.6051,-122.1134,819,425,America/Los_Angeles,NA,98008,Internap Network Services Corporation,eNom,,"AS21740 eNom, Incorporated",Corporate,residential,534,99,20,60,10
satellitebbs.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
searchforca.com,26496,50.63.202.69,US,United States,AZ,Arizona,Scottsdale,33.6119,-111.8906,753,480,America/Phoenix,NA,85260,"GoDaddy.com, LLC","GoDaddy.com, LLC",secureserver.net,"AS26496 GoDaddy.com, LLC",Corporate,hosting,534,99,20,60,10
symanteconline.net,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
syscation.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
tibethome.org,36351,198.58.104.183,US,United States,NJ,New Jersey,Absecon,39.4899,-74.4773,504,609,America/New_York,NA,08205,Linode,Linode,,AS36351 SoftLayer Technologies Inc.,Corporate,hosting,534,99,20,60,10
todayusa.org,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
usabbs.org,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
usapappers.com,32421,192.31.186.141,US,United States,DE,Delaware,Wilmington,39.7157,-75.5281,504,302,America/New_York,NA,19801,Black Lotus Communications,Black Lotus Communications,,AS32421 Black Lotus Communications,Unknown,residential,534,99,20,60,10
usnewssite.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
usnftc.org,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
voiceofman.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
yahoodaily.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
youipcam.com,7796,216.240.128.229,US,United States,,,,38.0000,-97.0000,,,,NA,,Atmlink,Design Creator,calpop.com,"AS7796 ATMLINK, INC.",Corporate,hosting,783,95,36,52,10
3ml.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
911.cnnnewsdaily.com,22489,69.43.161.167,AU,Australia,07,Victoria,Beaumaris,-38.0000,145.0500,,,Australia/Victoria,OC,,Castle Access,Trellian Pty,,AS22489 Castle Access Inc,Corporate,residential,683,99,20,60,10
add.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
addr.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
ads.bpyoyo.com,21740,8.5.1.34,US,United States,WA,Washington,Bellevue,47.6051,-122.1134,819,425,America/Los_Angeles,NA,98008,Level 3 Communications,"eNom, Incorporated",,"AS21740 eNom, Incorporated",Corporate,business,534,99,20,60,10
adtkl.bigish.net,51377,46.37.164.184,GB,United Kingdom,H9,"London, City of",London,51.5142,-0.0931,,,Europe/London,EU,,BurstNET Limited,BurstNET Limited,hostnoc.net,AS51377 BurstNET Limited,Unknown,hosting,63,88,60,60,
adtkl.gmailboxes.com,40676,216.99.150.35,US,United States,CA,California,Walnut,34.0115,-117.8535,803,909,America/Los_Angeles,NA,91789,Psychz Networks,Psychz Networks,psychz.net,AS40676 Psychz Networks,Corporate,hosting,534,99,20,60,10
aes.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
africa.mcafeepaying.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
africa.todayusa.org,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
africa.usabbs.org,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
airplane.defenceonline.net,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
a-jsm.infobusinessus.org,20860,78.129.222.122,GB,United Kingdom,H9,"London, City of",London,51.5142,-0.0931,,,Europe/London,EU,,Iomart Hosting Limited,Thrust VPS,,AS20860 Iomart,Unknown,residential,993,74,36,36,
ak47.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
ak47.msnhome.org,8075,207.46.31.61,US,United States,,,,38.0000,-97.0000,,,,NA,,Microsoft Corp,Microsoft Corp,,AS8075 Microsoft Corp,Cable/DSL,business,,99,,,
ak47.msnhome.org,8075,65.55.39.12,US,United States,WA,Washington,Redmond,47.6801,-122.1206,819,425,America/Los_Angeles,NA,98052,Microsoft Hosting,Microsoft Hosting,,AS8075 Microsoft Corp,Corporate,residential,885,99,67,62,67
alarm.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
alone.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
aol.infobusinessus.org,15169,74.125.236.114,US,United States,CA,California,Mountain View,37.4192,-122.0574,807,650,America/Los_Angeles,NA,94043,Google,Google,1e100.net,AS15169 Google Inc.,Corporate,business,534,99,20,60,10
apa.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
app.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
apple.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
ara.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
ara2.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
arainfo.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
ares.aunewsonline.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
army.newsonlinesite.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
army.todayusa.org,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
auto.aoldaily.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
auto.livemymsn.com,13768,64.34.172.210,US,United States,VA,Virginia,Herndon,38.9266,-77.3936,511,703,America/New_York,NA,20171,Peer 1 Network,ServerBeach,tokbox.com,AS13768 Peer 1 Network Inc.,Corporate,hosting,534,99,20,60,10
auto.mcafeepaying.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
bab.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
back.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
backsun.busketball.com,51377,46.37.164.184,GB,United Kingdom,H9,"London, City of",London,51.5142,-0.0931,,,Europe/London,EU,,BurstNET Limited,BurstNET Limited,hostnoc.net,AS51377 BurstNET Limited,Unknown,hosting,63,88,60,60,
backup.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
backup.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
backup.msnhome.org,8075,65.55.39.12,US,United States,WA,Washington,Redmond,47.6801,-122.1206,819,425,America/Los_Angeles,NA,98052,Microsoft Hosting,Microsoft Hosting,,AS8075 Microsoft Corp,Corporate,residential,885,99,67,62,67
backup.msnhome.org,8075,207.46.31.61,US,United States,,,,38.0000,-97.0000,,,,NA,,Microsoft Corp,Microsoft Corp,,AS8075 Microsoft Corp,Cable/DSL,business,,99,,,
backupsw.infobusinessus.org,51377,46.37.164.184,GB,United Kingdom,H9,"London, City of",London,51.5142,-0.0931,,,Europe/London,EU,,BurstNET Limited,BurstNET Limited,hostnoc.net,AS51377 BurstNET Limited,Unknown,hosting,63,88,60,60,
banner.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
basketball.todayusa.org,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
bat.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
bcc.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
bee.newspappers.org,33491,74.93.92.50,US,United States,IL,Illinois,Chicago,41.7444,-87.6054,602,773,America/Chicago,NA,60619,Comcast Business Communications,Comcast Business Communications,comcastbusiness.net,"AS7922 Comcast Cable Communications, Inc.",Cable/DSL,business,12,99,84,99,65
bhbt.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
black.infobusinessus.org,51474,78.95.63.1,RO,Romania,,,,46.0000,25.0000,,,Europe/Bucharest,EU,,Media Trend Sistem SRL,Swift Marketing,,AS51474 Media Trend Sistem SRL,Unknown,residential,,99,,,
black.msnhome.org,8075,65.55.39.12,US,United States,WA,Washington,Redmond,47.6801,-122.1206,819,425,America/Los_Angeles,NA,98052,Microsoft Hosting,Microsoft Hosting,,AS8075 Microsoft Corp,Corporate,residential,885,99,67,62,67
black.msnhome.org,8075,207.46.31.61,US,United States,,,,38.0000,-97.0000,,,,NA,,Microsoft Corp,Microsoft Corp,,AS8075 Microsoft Corp,Cable/DSL,business,,99,,,
blackfish.defenceonline.net,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
blow.reutersnewsonline.com,21740,64.74.223.7,US,United States,WA,Washington,Bellevue,47.6051,-122.1134,819,425,America/Los_Angeles,NA,98008,Internap Network Services Corporation,eNom,,"AS21740 eNom, Incorporated",Corporate,residential,534,99,20,60,10
blue.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
bluefin.aunewsonline.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
book.pop-musicsite.com,2516,106.186.16.96,JP,Japan,40,Tokyo,Tokyo,35.6850,139.7514,,,Asia/Tokyo,AS,,Kddi Corporation,Kddi Corporation,linode.com,AS2516 KDDI KDDI CORPORATION,Cable/DSL,residential,80,99,40,60,
book.reutersnewsonline.com,12182,64.74.223.7,US,United States,WA,Washington,Bellevue,47.6051,-122.1134,819,425,America/Los_Angeles,NA,98008,Internap Network Services Corporation,eNom,,"AS21740 eNom, Incorporated",Corporate,residential,534,99,20,60,10
bphb.arrowservice.net,21527,69.41.9.99,US,United States,MI,Michigan,Owosso,42.9965,-84.1874,513,989,America/New_York,NA,48867,Daystarr Communications,Jacob's Insurance,,AS21527 Daystarr Communications,Corporate,residential,1,99,99,99,99
business.aunewsonline.com,3595,50.116.42.33,US,United States,NJ,New Jersey,Absecon,39.4284,-74.4957,504,609,America/New_York,NA,,Linode,Linode,linode.com,"AS3595 Global Net Access, LLC",Corporate,hosting,999,88,61,49,50
business.infosupports.com,51969,46.149.18.14,IS,Iceland,,,,65.0000,-18.0000,,,Atlantic/Reykjavik,EU,,GreenQloud ehf,GreenQloud ehf,greenqloud.com,AS51969 GreenQloud ehf,Cable/DSL,,,99,,,
